quiz_responses,vibe_profile,challenge,vernacular_prompt,badge
cow tea dance,funny traditional,Take a selfie at a chai stall!,Gai ya robot? Chai ya coffee? Dance ya sing? (Hindi),Chai Champion
robot coffee sing,techy modern,Make a 10-sec Reel dancing to a song.,Robot ya gai? Coffee ya chai? Sing ya dance? (Hindi),Dance Star
cow coffee dance,chill traditional,Share a photo of street food.,Gai ya robot? Coffee ya chai? Dance ya sing? (Hindi),Street Foodie
robot tea sing,artsy modern,Sing a line from a song in a Story.,Robot ya gai? Chai ya coffee? Sing ya dance? (Hindi),Song Sparrow
cow tea sing,playful traditional,Post a pic with a cow nearby.,Pashu ya robot? Chai ya coffee? Sing ya dance? (Tamil),Desi Vibes
robot coffee dance,energetic modern,Create a meme about coffee vs. tea.,Robot ya pashu? Coffee ya chai? Dance ya sing? (Tamil),Meme Master
cow coffee sing,relaxed traditional,Share a rain photo with a caption.,Gai ya robot? Coffee ya chai? Sing ya dance? (Hindi),Rain Guru
robot tea dance,creative modern,Draw a doodle and post it on X.,Robot ya gai? Chai ya coffee? Dance ya sing? (Hindi),Doodle Pro
paratha filter reel,trendy desi,Make a Reel at a dosa stall.,Paratha ya dosa? Filter ya no-filter? Reel ya Story? (Hindi),Reel Rockstar
dosa nofilter story,authentic desi,Post a no-filter breakfast Story.,Dosa ya paratha? Filter illaiya? Reel ya Story? (Tamil),Story Sultan
